Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
} while (num > 0);,Begin a loop while the number to printed is greater than 0.,"If variable num is greater than zero, then it must have at least one digit, and in that case, the body of the do loop will be repeated again.",2
} while (num > 0);,Begin a loop while the number to printed is greater than 0.,The body of the while loop should repeat as long as there are more digits left that we have not processed yet.,2
System.out.println(num % 10);,Print the remainder when divided by 10.,Each printed digit is followed by the line separator (e.g. '\n') at the end.,1
System.out.println(num % 10);,Print the remainder when divided by 10.,We need to extract the last digit in the 1's position of the integer.,2
System.out.println(num % 10);,Print the remainder when divided by 10.,"For example, if the integer is 1234, we want to extract the digit 4 that is in 1's position of the integer.",2
System.out.println(num % 10);,Print the remainder when divided by 10.,We do this by calculating the remainder of the division of the integer by 10.,3
System.out.println(num % 10);,Print the remainder when divided by 10.,"Then, this statement prints the last digit of the integer to the standard output stream.",2
num = num / 10;,Divide the initial number by 10,"Therefore, this division will remove the digit that we processed (lastDigit) and we can move on to the next digit.",2
num = num / 10;,Divide the initial number by 10,We truncate the extracted digit that we processed from the original integer by dividing the integer by 10.,3
num = num / 10;,Divide the initial number by 10,Note that this statement performs an integer division because both operand of the / operator are integer.,2
do {,Initiate the while loop.,We need to process the digits of the integer from right to left and print them.,1
do {,Initiate the while loop.,"Therefore, we need to use a loop structure.",2
do {,Initiate the while loop.,"In this program, we do this by using a do loop.",2
do {,Initiate the while loop.,The do loop is more appropriate than a while loop because a positive integer always has at least one digit which results in the body of the loop performing at least once.,1
Scanner scan = new Scanner(System.in);,Initialize the variable in which the user input will be scanned and stored.,"To read the input values from the user, we need to define a Scanner object.",2
Scanner scan = new Scanner(System.in);,Initialize the variable in which the user input will be scanned and stored.,We need to read and process the values that the user enters.,1
"System.out.println(""Enter the phone age in years:"");",Print the text asking the user to input the age of the phone in years.,We prompt the user to enter the phone age in years.,4
int phoneAge = scan.nextInt();,Scan the next token as an integer.,We read the phone age by calling the nextInt() method because this input is an integer.,2
int phoneAge = scan.nextInt();,Scan the next token as an integer.,We need to read the phone age that the user enters and store it in a variable.,2
"System.out.println(""Enter whether the phone is broken (true or false):"");",Print the text asking the user to enter whether the phone is broken or not.,We prompt the user to enter whether the phone is broken.,4
